verdict	originMatch	band	headword	reading	glossEn	ko_word	ko_origin	ko_definition	id
1	Y	3	庶民的	しょみんてき	popular, folksy, plebeian, ordinary	서민-적(0)	庶民的	서민과 같은 것.	1343580
1	Y	1	海上自衛隊	かいじょうじえいたい	Maritime Self Defense Forces (Defence)	해상^자위대(0)	海上自衛隊	일본 자위대의 하나. 방위청에 소속되어 해상 방위를 맡는 부대로, 방위청 장관이 통괄하며 최고 지휘는 내각의 총리가 한다. 1954년에 발족하였다.	1613890
1	Y	0	工場	こうじょう	factory, plant, mill, workshop	공장(2)	工場	원료나 재료를 가공하여 물건을 만들어 내는 설비를 갖춘 곳.	1578700
1	n	1	決別	けつべつ	separation, farewell, parting	결별(0)	訣別	기약 없는 이별을 함. 또는 그런 이별.	1254420
1	Y	0	警察庁	けいさつちょう	National Police Agency, NPA	경찰-청(0)	警察廳	중앙 행정 기관의 하나. 행정 안전부 장관 소속으로, 치안에 관한 사무를 맡아본다.	1252420
3	n	1	少々	しょうしょう	a little, a bit, a small amount, a few	소소(1)	小小	‘소소하다’의 어근.	1594930
1	Y	2	空砲	くうほう	empty gun, gun loaded with blanks, firing a blank	공포(6)	空砲	실탄을 넣지 않고 소리만 나게 하는 총질.	2582370
3	n	0	手前	てまえ	before oneself, in front of one, nearby, a bit before reaching (a location)	수전(1)	手顫	손이 떨리는 증상. 주로 알코올 의존자나 노인에게서 나타난다.	1328030
1	Y	3	万世	ばんせい	all ages, eternity	만세(2)	萬世	아주 오랜 세대.	1526190
1	Y	3	同量	どうりょう	same amount	동량(1)	同量	같은 분량.	1687800
3	n	0	仕方	しかた	way, method, means, resource	사방(1)	巳方	이십사방위의 하나. 정남(正南)에서 동으로 30도 방위를 중심으로 한 15도 각도 안의 방향이다.	1594110
3	n	2	御産	おさん	(giving) birth, childbirth, delivery	어산(0)	魚山	→ 범패.	1001960
1	n	2	無論	むろん	of course, certainly, naturally	무론(0)	無論/毋論	말할 것도 없음.	1531080
3	n	2	復刻	ふっこく	republication, reissue, reprinting, reproduction	복각(1)	伏角	지구 자기의 자력선의 방향이 수평면과 이루는 각. 곧, 지구상의 임의의 지점에 놓은 자침의 방향이 수평면과 이루는 각을 이른다. 자기 적도에서는 0도, 자기극에서는 90도이다.	1500790
3	n	3	切干	きりぼし	dried daikon strips	절-간(1)	절間	‘절’을 속되게 이르는 말.	1383960
3	Y	1	低調	ていちょう	inactive, slow, sluggish, slack	저조(2)	低調	가락이 낮음. 또는 그런 가락.	1434610
1	Y	2	即席	そくせき	impromptu, improvised, extempore, ad-lib	즉석(0)	卽席	어떤 일이 진행되는 바로 그 자리.	1404240
1	n	2	内幕	うちまく	lowdown, inside information, hidden circumstances, inside facts	내막(1)	內幕	겉으로 드러나지 아니한 일의 속 내용.	1582570
1	Y	0	堅調	けんちょう	firm (market), bullish, strong (sales, economy, etc.), steady	견조(0)	堅調	주가의 시세가 내리지 않고 높은 상태에 계속 머물러 있음.	1257180
1	Y	3	講話	こうわ	lecture, discourse	강화(7)	講話	강의하듯이 쉽게 풀어서 이야기함. 또는 그런 이야기.	1282380
2	n	2	英知	えいち	wisdom, intelligence, sagacity	영지(1)	令旨	왕비나 왕대비 또는 왕세자나 황태자의 명령서.	1588680
1	Y	0	閣議	かくぎ	cabinet meeting	각의(2)	閣議	‘내각 회의’를 줄여 이르는 말.	1206300
1	Y	0	高値	たかね	high price	고치(6)	高値	비싼 값.	1283760
1	Y	3	病弊	びょうへい	evil influence, ill effect	병폐(1)	病弊	병통과 폐단을 아울러 이르는 말.	1622320
1	n	3	甘酢	あまず	sweet vinegar	감-초(1)	감醋	감을 숙성시켜 만든 식초.	1213540
1	Y	0	攻守	こうしゅ	offense and defense, offence and defence, batting and fielding	공수(7)	攻守	공격과 수비를 아울러 이르는 말.	1279220
1	Y	1	政争	せいそう	political strife	정쟁(2)	政爭	정치에서의 싸움. 또는 정계의 투쟁.	1735380
1	Y	3	極刑	きょっけい	capital punishment, death penalty, maximum penalty, ultimate punishment	극형(2)	極刑	가장 무거운 형벌이라는 뜻으로, ‘사형’을 이르는 말.	1240290
1	Y	0	管理	かんり	control, management (e.g. of a business)	관리(4)	管理	어떤 일의 사무를 맡아 처리함.	1214200
1	n	1	交差点	こうさてん	crossing, intersection	교차-점(0)	交叉點	서로 엇갈리거나 마주친 곳.	1592970
3	n	1	加担	かたん	support, participation, assistance, complicity	가단(1)	家團	법률적으로 가족을 하나의 단체로서 이르는 말. 우리나라 민법에서는 인정하지 않는다.	1590450
1	Y	1	再会	さいかい	meeting again, reunion	재회(2)	再會	다시 만남. 또는 두 번째로 만남.	1292390
3	n	0	担任	たんにん	being in charge of (esp. a class or subject), taking charge of, class teacher, homeroom teacher	단임(0)	單任	원래 정해진 임기를 다 마친 뒤에 다시 그 직위에 임용하지 않음. 또는 그런 일.	1418200
3	n	3	身形	みなり	dress, attire, clothing, getup	신형(1)	神兄	대종교에서, 신도들이 대종사(大倧師)를 높여 부르는 말.	1365570
1	Y	1	積雪	せきせつ	fallen snow, snow cover	적설(2)	積雪	쌓여 있는 눈.	1383060
1	n	0	記念日	きねんび	memorial day, commemoration day, anniversary	기념-일(0)	紀念日	축하하거나 기릴 만한 일이 있을 때, 해마다 그 일이 있었던 날을 기억하는 날.	1223380
3	n	1	上越	じょうえつ	area on Japan Sea side of Japan, including Niigata	상월(1)	相月	음력 7월을 달리 이르는 말.	1352660
1	Y	2	足音	あしおと	(sound of) footsteps, sense or sign that something is approaching	족음(0)	足音	발을 옮겨 디딜 때 발이 바닥에 닿아 나는 소리.	1404770
