char	now	old	corpusFreq	stdict_attested	samples
欠	흠·결	감	14	결:22 흠:5	欠員 けついん / 欠陥 けっかん / 欠勤 けっきん / 欠航 けっこう
混	혼	곤	14	혼:13	混血 こんけつ / 混合 こんごう / 混在 こんざい / 混雑 こんざつ
推	추	퇴	14	추:38	推移 すいい / 推挙 すいきょ / 推計 すいけい / 推察 すいさつ
煙	연	인	13	연:43	愛煙家 あいえんか / 煙突 えんとつ / 煙幕 えんまく / 喫煙 きつえん
革	혁	극	13	혁:10	沿革 えんかく / 改革 かいかく / 革靴 かわぐつ / 革新 かくしん
背	배	패	13	배:41	上背 うわぜい / 二律背反 にりつはいはん / 背景 はいけい / 背後 はいご
夕	석	사	12	석:21	一朝一夕 いっちょういっせき / 朝夕 あさゆう / 夕刊 ゆうかん / 夕刻 ゆうこく
干	간	강	12	간:19	干潟 ひがた / 干渉 かんしょう / 干拓 かんたく / 干満 かんまん
祝	축	주	12	축:22	慶祝 けいしゅく / 祝宴 しゅくえん / 祝賀 しゅくが / 祝儀 しゅうぎ
複	복	부	12	복:23	単複 たんぷく / 複眼 ふくがん / 複合 ふくごう / 複雑 ふくざつ
還	환	선	11	환:28	往還 おうかん / 還元 かんげん / 還流 かんりゅう / 還暦 かんれき
幅	폭	복	11	폭:16	横幅 よこはば / 肩幅 かたはば / 振幅 しんぷく / 全幅 ぜんぷく
紅	홍	공	11	홍:14	口紅 くちべに / 紅花 べにばな / 紅海 こうかい / 紅茶 こうちゃ
施	시	이	11	시:40	施策 しさく / 施錠 せじょう / 施政 しせい / 施設 しせつ
奥	오	욱	10	오:8	奥義 おうぎ / 奥行 おくゆき / 奥山 おくやま / 奥歯 おくば
九	구	규	10	구:75	九九 くく / 九月 くがつ / 九州 きゅうしゅう / 九重 ここのえ
献	헌	사	10	헌:11	献金 けんきん / 献血 けんけつ / 献上 けんじょう / 献身 けんしん
縦	종	총	10	종:25	縦横無尽 じゅうおうむじん / 縦貫 じゅうかん / 縦書 たてがき / 縦断 じゅうだん
躍	약	적	9	약:10	暗躍 あんやく / 一躍 いちやく / 活躍 かつやく / 跳躍 ちょうやく
抜	발	패	9	발:17	海抜 かいばつ / 奇抜 きばつ / 選抜 せんばつ / 卓抜 たくばつ
許	허	호	9	허:15	許可 きょか / 許諾 きょだく / 許容 きょよう / 特許 とっきょ
糖	당	탕	9	당:16	血糖 けっとう / 黒砂糖 くろざとう / 砂糖 さとう / 製糖 せいとう
鋭	예	태	8	예:16	鋭意 えいい / 鋭角 えいかく / 鋭敏 えいびん / 鋭利 えいり
押	압	갑	8	압:10	押問答 おしもんどう / 押印 おういん / 押収 おうしゅう / 押切 おしきり
暖	난	훤	8	난:3	温暖 おんだん / 暖冬 だんとう / 暖房 だんぼう / 暖流 だんりゅう
簿	부	박	8	부:22	家計簿 かけいぼ / 原簿 げんぼ / 出納簿 すいとうぼ / 帳簿 ちょうぼ
膜	막	모	8	막:15	角膜 かくまく / 鼓膜 こまく / 粘膜 ねんまく / 薄膜 うすまく
滑	활	골	8	활:13	滑空 かっくう / 滑稽 こっけい / 滑降 かっこう / 滑車 かっしゃ
湯	탕	상	8	탕:7	給湯 きゅうとう / 銭湯 せんとう / 湯気 ゆげ / 湯治 とうじ
氏	씨	지	8	씨:3	氏子 うじこ / 氏神 うじがみ / 氏名 しめい / 同氏 どうし
尊	존	준	8	존:13	自尊 じそん / 尊敬 そんけい / 尊厳 そんげん / 尊重 そんちょう
拡	확	광	7	확:6	拡散 かくさん / 拡充 かくじゅう / 拡大 かくだい / 拡張 かくちょう
惨	참	침	7	참:13	惨禍 さんか / 惨劇 さんげき / 惨殺 ざんさつ / 惨事 さんじ
抵	저	지	7	저:6	大抵 たいてい / 抵抗 ていこう / 抵触 ていしょく / 抵当 ていとう
陶	도	요	7	도:23	陶器 とうき / 陶芸 とうげい / 陶工 とうこう / 陶磁 とうじ
倍	배	패	6	배:12	一倍 いちばい / 人一倍 ひといちばい / 倍加 ばいか / 倍額 ばいがく
慶	경	강	6	경:29	慶事 けいじ / 慶祝 けいしゅく / 慶弔 けいちょう / 国慶節 こっけいせつ
棚	붕	팽	6	붕:1	戸棚 とだな / 書棚 しょだな / 神棚 かみだな / 大陸棚 たいりくだな
沢	택	석	6	택:6	光沢 こうたく / 沼沢 しょうたく / 沢山 たくさん / 潤沢 じゅんたく
批	비	별	6	비:13	批准 ひじゅん / 批判 ひはん / 批判的 ひはんてき / 批評 ひひょう
昔	석	착	5	석:5	一昔 ひとむかし / 昔風 むかしふう / 昔話 むかしばなし / 大昔 おおむかし
雇	고	호	5	고:16	解雇 かいこ / 雇用 こよう / 雇主 やといぬし / 日雇 ひやとい
池	지	타	5	지:47	乾電池 かんでんち / 蓄電池 ちくでんち / 貯水池 ちょすいち / 電池 でんち
裸	라	야	5	라:1	丸裸 まるはだか / 全裸 ぜんら / 裸眼 らがん / 裸体 らたい
拒	거	구	5	거:14	拒食症 きょしょくしょう / 拒絶 きょぜつ / 拒絶反応 きょぜつはんのう / 拒否 きょひ
谷	곡	욕	5	곡:13	峡谷 きょうこく / 渓谷 けいこく / 谷間 たにま / 谷川 たにがわ
逐	축	적	5	축:14	駆逐 くちく / 駆逐艦 くちくかん / 逐一 ちくいち / 逐次 ちくじ
恒	항	긍	5	항:15	恒久 こうきゅう / 恒常 こうじょう / 恒星 こうせい / 恒例 こうれい
穀	곡	구	5	곡:30	穀倉 こくそう / 穀物 こくもつ / 穀類 こくるい / 米穀 べいこく
掘	굴	궐	5	굴:6	採掘 さいくつ / 試掘 しくつ / 発掘 はっくつ / 掘削 くっさく
邪	사	야	5	사:71	邪悪 じゃあく / 邪険 じゃけん / 邪道 じゃどう / 邪魔 じゃま
覇	패	백	5	패:5	制覇 せいは / 覇気 はき / 覇権 はけん / 覇者 はしゃ
払	불	필	5	불:10	払拭 ふっしょく / 未払 みはらい / 支払 しはらい / 前払 まえばらい
